kpi_id,kpi_name,audience,indicator_type,owner,maps_to,target,target_direction,unit,new_metric,description
LEAD_REVENUE_RR,Online revenue (annualised run-rate),leadership,lagging,CEO / Maya Chen,O1 - KR 1.1,8400000.0,higher,currency,No,"Trailing-90-day online revenue, annualised. Year-1 milestone toward the CEO's 18-month doubling mandate."
LEAD_ROAS,Return on ad spend (ROAS),leadership,lagging,Maya Chen,O1 - KR 1.2,4.0,higher,ratio,No,"Paid-search revenue divided by paid-search ad spend (actual ROAS, not blended). Case target floor 4.0x."
LEAD_CLV,Customer lifetime value (CLV index),leadership,lagging,Maya Chen,O3 - KR 3.3,115.0,higher,index,No,CLV indexed to phase start (=100). Case target is +15% YoY.
LEAD_RET_REV,Returning-customer revenue share,leadership,lagging,Sofia Reyes,O3 - KR 3.2,0.35,higher,pct,Yes,Share of revenue from customers placing their 2nd+ order. NEW metric extending the case framework toward a retention KPI.
LEAD_D30_PAYBACK,Day-30 gross-profit payback on CAC,leadership,lagging,CEO / Maya Chen,O1 - KR 1.3,1.0,higher,ratio,Yes,"For new customers acquired in the period, gross profit earned in their first 30 days divided by total acquisition spend. Hormozi's 1.0x self-funding-growth threshold. NEW metric."
MKT_CPA,Cost per acquisition (CPA) - paid search,marketing,lagging,Derek Osei,O1 - KR 1.3,18.0,lower,currency,No,Paid-search spend divided by GCLID-attributed orders. Case target <=$18.
MKT_ROAS,Return on ad spend (ROAS) - paid search,marketing,lagging,Derek Osei,O1 - KR 1.2,4.0,higher,ratio,No,GCLID-attributed revenue divided by paid-search spend. Case target >=4.0x.
MKT_LP_CONV,Landing page conversion rate,marketing,lagging,Derek Osei,O2 - KR 2.1,0.035,higher,pct,No,Landing-page conversions divided by sessions (GA4). Case target >=3.5%.
MKT_L2C,Lead-to-customer conversion rate,marketing,lagging,Sofia Reyes,O2 - KR 2.2,0.05,higher,pct,No,New customers divided by new leads (HubSpot lifecycle stages). Case target >=5%. Shared with the leadership view as a leading signal.
MKT_CART,Cart recovery rate,marketing,lagging,Sofia Reyes,O2 - KR 2.3,0.2,higher,pct,No,Recovered carts divided by abandoned carts. Case target >=20%.
MKT_CPC,Cost per click (CPC),marketing,leading,Derek Osei,O1 - KR 1.3,1.2,lower,currency,No,Paid-search cost divided by clicks. Case target <=$1.20.
MKT_CTR,Click-through rate (CTR) - paid search,marketing,leading,Derek Osei,O2 - KR 2.1,0.045,higher,pct,No,Paid-search clicks divided by impressions. Case target >=4.5%.
MKT_HIGH_INTENT,% ad spend on high-intent (Tier 1 + 2) keywords,marketing,leading,Derek Osei,O1 - KR 1.2,0.75,higher,pct,Yes,Share of paid spend on Tier 1 + Tier 2 keywords. Operationalises Decision 6 keyword discipline. NEW metric.
MKT_EMAIL_OPEN,Email open rate,marketing,leading,Sofia Reyes,O3 - KR 3.1,0.28,higher,pct,No,Opens divided by delivered (segmented campaigns). Case target >=28%.
MKT_EMAIL_CTR,Email click-through rate,marketing,leading,Sofia Reyes,O3 - KR 3.1,0.045,higher,pct,No,Clicks divided by delivered (segmented campaigns). Case target >=4.5%.
